 股票代码, 股票名字, 今日开盘价, 昨日收盘价, 当前价格, 今日最高价, 今日最低价, 竞买价, 竞卖价, 成交股票数, 成交金额, 买一, 买一报价, 买二, 买二报价, 买三, 买三报价, 买四, 买四报价, 买五, 买五报价,  卖一, 卖一报价, 卖二, 卖二报价,卖三, 卖三报价,卖四, 卖四报价, 卖五, 卖五报价,日期, 时间, 其他
﻿603000,人民网,12.330,11.430,12.050,12.570,11.800,12.040,12.050,43830475,537695692.000,7100,12.040,500,12.030,17300,12.020,20500,12.010,41300,12.000,4200,12.050,15791,12.060,73400,12.070,14200,12.080,7300,12.090,2018-04-16,15:00:00,00
﻿603001,奥康国际,13.500,13.510,13.290,13.500,13.230,13.300,13.330,1386141,18447977.000,700,13.300,3000,13.290,5000,13.280,8900,13.270,33915,13.250,4100,13.330,12700,13.340,8910,13.350,6000,13.360,5300,13.370,2018-04-16,15:00:00,00
603002,宏昌电子,5.200,5.250,5.130,5.230,5.090,5.120,5.130,6042061,31136260.000,35100,5.120,115500,5.110,111400,5.100,55100,5.090,99500,5.080,4367,5.130,28300,5.140,35000,5.150,53900,5.160,25700,5.170,2018-04-16,15:00:00,00
603003,龙宇燃油,12.110,12.050,11.940,12.240,11.770,11.910,11.940,2536681,30232903.000,3900,11.910,102500,11.900,300,11.890,2400,11.880,4800,11.860,400,11.940,800,11.950,8900,11.990,10300,12.000,500,12.030,2018-04-16,15:00:00,00
603005,晶方科技,28.860,29.070,29.730,29.740,28.570,29.720,29.730,4575146,133925861.000,200,29.720,1400,29.710,48000,29.700,100,29.680,4700,29.650,400,29.730,9000,29.740,2200,29.750,11100,29.760,2201,29.770,2018-04-16,15:00:00,00
603006,联明股份,14.590,14.670,14.290,14.600,14.200,14.270,14.280,1786012,25564853.000,1100,14.270,25800,14.260,5200,14.250,3200,14.240,9200,14.230,2100,14.280,8400,14.300,3600,14.310,2800,14.320,6700,14.330,2018-04-16,15:00:00,00
603007,花王股份,14.120,14.160,14.140,14.210,13.900,14.130,14.140,2089139,29382056.000,2000,14.130,1200,14.120,2100,14.100,5700,14.090,1300,14.080,2400,14.140,33250,14.150,2800,14.160,8300,14.170,1000,14.180,2018-04-16,15:00:00,00
603008,喜临门,18.700,18.740,18.720,18.800,18.390,18.710,18.730,1912252,35551707.000,2100,18.710,2200,18.690,5700,18.680,5200,18.670,5000,18.660,2700,18.730,4100,18.740,12900,18.750,10000,18.760,8700,18.770,2018-04-16,15:00:00,00
603009,北特科技,12.180,12.120,11.910,12.180,11.610,11.900,11.910,5777200,68438556.000,2600,11.900,6800,11.890,36900,11.880,5300,11.870,15500,11.860,6700,11.910,2150,11.920,7500,11.930,32400,11.940,6700,11.950,2018-04-16,15:00:00,00
603010,万盛股份,24.390,24.570,25.910,25.960,24.250,25.890,25.900,3422958,86318897.000,12300,25.890,8500,25.880,100,25.860,100,25.850,2000,25.800,1100,25.900,1400,25.920,1800,25.930,2700,25.940,8500,25.950,2018-04-16,15:00:00,00
﻿603011,合锻智能,7.720,7.720,7.530,7.780,7.400,7.530,7.540,1811400,13731827.000,1400,7.530,1500,7.510,8300,7.500,5200,7.490,5600,7.480,1900,7.540,3200,7.560,8300,7.570,103,7.580,4000,7.590,2018-04-16,15:00:00,00
603012,创力集团,6.780,6.810,6.940,6.980,6.680,6.930,6.940,3891600,26686695.000,18900,6.930,71700,6.920,12600,6.910,24000,6.900,9900,6.890,2500,6.940,17238,6.950,62400,6.960,46900,6.970,40800,6.980,2018-04-16,15:00:00,00
603013,亚普股份,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,2018-04-16,11:45:01,-2
603015,弘讯科技,7.950,8.000,8.060,8.060,7.900,8.040,8.050,2151100,17173710.000,12000,8.040,3700,8.030,1500,8.020,5000,8.010,66500,8.000,100,8.050,45600,8.060,10900,8.070,34600,8.080,900,8.090,2018-04-16,15:00:00,00
603016,新宏泰,21.460,21.700,20.890,21.500,20.780,20.830,20.840,2726456,57630339.000,3000,20.830,2600,20.820,1700,20.810,12200,20.800,500,20.790,6000,20.840,900,20.890,4200,20.900,1800,20.910,1400,20.920,2018-04-16,15:00:00,00
603017,中衡设计,13.180,13.240,13.090,13.290,13.010,13.090,13.100,410360,5372837.000,2000,13.090,200,13.070,8500,13.050,20000,13.040,21100,13.030,2300,13.100,1700,13.110,1000,13.120,2500,13.130,1000,13.180,2018-04-16,15:00:00,00
603018,中设集团,27.330,27.540,27.070,27.520,26.920,27.040,27.050,854982,23249789.000,700,27.040,500,27.010,2300,27.000,2163,26.980,3400,26.960,2600,27.050,600,27.070,1600,27.080,1500,27.090,900,27.100,2018-04-16,15:00:00,00
603019,中科曙光,49.430,49.980,53.770,53.800,49.320,53.780,53.790,42424655,2205700638.000,4500,53.780,900,53.770,2899,53.760,15100,53.750,2300,53.740,700,53.790,23500,53.800,8300,53.810,3100,53.820,5700,53.830,2018-04-16,15:00:00,00
603020,爱普股份,11.000,11.150,10.660,11.000,10.610,10.640,10.650,2604900,28064587.000,1800,10.640,7800,10.630,5600,10.620,13300,10.610,16200,10.600,600,10.650,1500,10.660,2000,10.670,1100,10.680,1600,10.690,2018-04-16,15:00:00,00
﻿603021,山东华鹏,8.710,8.730,8.740,8.820,8.660,8.730,8.740,2747404,24002262.000,16000,8.730,10000,8.720,12000,8.710,1000,8.700,1300,8.690,2800,8.740,6660,8.750,13100,8.760,16900,8.770,26800,8.780,2018-04-16,15:00:00,00
603022,新通联,10.880,10.920,10.790,10.880,10.630,10.790,10.800,1078050,11603953.000,7000,10.790,1500,10.780,4600,10.770,1000,10.750,900,10.730,61000,10.800,700,10.820,11500,10.830,12200,10.840,11700,10.850,2018-04-16,15:00:00,00
603023,威帝股份,7.510,7.540,7.440,7.620,7.380,7.440,7.450,1108223,8314686.000,1500,7.440,9770,7.430,4000,7.420,8200,7.410,57400,7.400,2621,7.450,24700,7.460,4300,7.490,30500,7.500,5000,7.510,2018-04-16,15:00:00,00
603025,大豪科技,31.400,31.190,29.730,31.400,29.400,29.730,29.740,2388252,72213020.000,200,29.730,1200,29.720,100,29.710,7300,29.700,1800,29.690,700,29.740,1300,29.750,1800,29.780,1100,29.800,1300,29.810,2018-04-16,15:00:00,00
603026,石大胜华,20.790,20.810,19.940,20.840,19.720,19.910,19.920,4065607,82143879.000,900,19.910,19400,19.900,3200,19.890,3700,19.880,1800,19.870,200,19.920,2800,19.950,1500,19.980,10300,19.990,3700,20.000,2018-04-16,15:00:00,00
603027,千禾味业,19.950,19.880,19.920,20.280,19.620,19.910,19.950,3526185,70419718.000,400,19.910,9000,19.900,5000,19.880,1000,19.850,200,19.800,10800,19.950,500,19.980,19800,19.990,216400,20.000,5200,20.050,2018-04-16,15:00:00,00
603028,赛福天,9.800,9.720,9.520,9.800,9.450,9.480,9.540,1705293,16364033.000,8400,9.480,8200,9.470,4400,9.460,18400,9.450,800,9.440,21000,9.540,4427,9.550,7000,9.560,8200,9.570,14400,9.580,2018-04-16,15:00:00,00
603029,天鹅股份,20.200,20.270,19.590,20.200,19.510,19.580,19.590,1364593,26831630.000,300,19.580,1300,19.570,9109,19.560,12600,19.550,5300,19.540,100,19.590,1200,19.600,3900,19.610,3600,19.620,800,19.630,2018-04-16,15:00:00,00
603030,全筑股份,8.000,8.050,7.990,8.080,7.980,7.980,7.990,1595259,12786567.000,34500,7.980,5800,7.960,5000,7.950,10000,7.930,1000,7.920,18000,7.990,1682,8.010,6800,8.020,14300,8.030,10000,8.040,2018-04-16,15:00:00,00
